id_cc,hora,ins_promedio,p10,p50,p90
1,0,1.0,1.0,1.0,1.0
1,3,1.5034687809712586,0.0,1.0,3.0
1,4,1.4365296803652967,0.0,1.0,3.0
1,5,2.595521343596921,1.0,1.0,4.0
1,6,7.477528834681161,1.0,2.0,21.0
1,7,8.681822226176706,1.0,2.0,18.0
1,8,10.83070241952161,1.0,2.0,22.0
1,9,15.208739923631736,1.0,2.0,39.0
1,10,18.91451508884293,1.0,3.0,19.0
1,11,23.512755800759088,1.0,4.0,20.0
1,12,28.71238428148888,1.0,4.0,23.0
1,13,31.72610465767751,1.0,5.0,25.0
1,14,30.632526598854202,1.0,5.0,24.0
1,15,31.43773838045041,1.0,5.0,25.0
1,16,30.88712987950891,1.0,5.0,24.0
1,17,31.710245242441218,1.0,5.0,26.0
1,18,29.917951961896964,1.0,5.0,22.0
1,19,22.36304675428724,1.0,4.0,18.0
1,20,15.66728280961183,1.0,3.0,32.0
1,21,12.212845513063234,1.0,2.0,29.0
1,22,4.244961934617107,0.0,1.0,8.0
1,23,2.037526997840173,0.0,1.0,4.0
2,0,0.495260663507109,0.0,0.0,1.0
2,1,8.0,8.0,8.0,8.0
2,3,0.38342696629213485,0.0,0.0,1.0
2,4,0.422554347826087,0.0,0.0,1.0
2,5,1.2930875576036867,0.0,0.0,2.0
2,6,4.080872011251758,0.0,1.0,12.0
2,7,7.220552593310712,0.0,2.0,15.0
2,8,11.580934952586924,0.0,2.0,16.0
2,9,30.804358908998214,1.0,5.0,82.0
2,10,46.50206207944432,1.0,5.0,173.0
2,11,56.4503328479301,1.0,5.0,218.29999999999927
2,12,59.34764057499873,1.0,6.0,230.40000000000146
2,13,57.830081300813006,1.0,6.0,220.0
2,14,57.874389026120774,1.0,6.0,222.0
2,15,63.1320138961996,1.0,6.0,253.0
2,16,67.685968938464,2.0,7.0,278.0
2,17,63.99762733312243,1.0,6.0,263.0
